Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),COOLSYS1 DEMAND INLET PIPE:Pipe Inlet Temperature [C](TimeStep),COOLSYS1 DEMAND INLET PIPE:Pipe Outlet Temperature [C](TimeStep),COOLSYS1 DEMAND OUTLET PIPE:Pipe Inlet Temperature [C](TimeStep),COOLSYS1 DEMAND OUTLET PIPE:Pipe Outlet Temperature [C](TimeStep),Whole Building:Facility Total Building Electric Demand Power [W](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Winter Clothes Not Comfortable Time [hr](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep),CAV_1_FAN:Fan Electric Power [W](TimeStep),CAV_2_FAN:Fan Electric Power [W](TimeStep),VAV_1_FAN:Fan Electric Power [W](TimeStep),VAV_2_FAN:Fan Electric Power [W](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Mass Flow Rate [kg/s](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Inlet Temperature [C](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Outlet Temperature [C](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Heat Transfer Rate [W](TimeStep) 
 06/08  00:01:00,16.2016666666667,6.79739984095171,6.81056803832817,12.0363814451889,11.9778247972345,212494.446168643,117322.723244618,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,60.,11.9593703870692,6.7,-1323979.17500371 
 06/08  00:02:00,16.3033333333333,6.79570268931891,6.81055025559895,12.072858381608,11.9791969760686,212498.677486159,117322.599462492,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,60.,11.9606368888651,6.76693014129108,-1307419.99455116 
 06/08  00:03:00,16.405,6.79391242145674,6.81063627483071,11.7908940812551,11.980435377103,212502.733406028,117322.519082425,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.6208716360241,11.9618377169467,6.7,-1183770.37197537 
 06/08  00:04:00,16.5066666666667,6.78887744704639,6.81070170904494,11.8167270272183,11.9816779574112,212506.823987288,117322.468343945,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.8532848983106,11.9629744106739,6.7,-1189158.11681594 
 06/08  00:05:00,16.6083333333333,6.78412051971429,6.81072851539523,11.8426244397415,11.9829259341981,212510.876505335,117322.43815906,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.0849911384601,11.9641223144171,6.7,-1194535.00681526 
 06/08  00:06:00,16.71,6.77962738205902,6.81068767541147,11.86799879097,11.9841803628751,212515.009788294,117322.422378991,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.3220314738852,11.9652812154107,6.7,-1200034.47100914 
 06/08  00:07:00,16.8116666666667,6.77538469907659,6.81053753098016,11.8939146830136,11.9854394377512,212519.098539429,117322.416771509,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.5517310247908,11.966450813283,6.7,-1205376.48677431 
 06/08  00:08:00,16.9133333333333,6.77137995143526,6.81022364877066,11.9197486353133,11.9866943986314,212523.262687532,117322.418387796,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.78061027497,11.9676304413391,6.7,-1210704.93280916 
 06/08  00:09:00,17.015,6.76760094890728,6.80968256972305,11.9454678572231,11.987923007103,212527.378838544,117322.425155439,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.0076372843496,11.9688185796337,6.7,-1215996.66300655 
 06/08  00:10:00,17.1166666666667,6.76403608878361,6.80884899125178,11.9711044307266,11.9890825594964,212531.458749225,117322.435609082,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.2325562622191,11.9700117928509,6.7,-1221245.22211894 
 06/08  00:11:00,17.2183333333333,6.76067429412351,6.80766526409904,11.9965774332566,11.9901045219529,212535.61891194,117322.448708215,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.4553301842223,11.9712034174701,6.7,-1226448.22362502 
 06/08  00:12:00,17.32,6.75750498977639,6.80609088222444,12.0219621744007,11.9908934201843,212539.842239028,117322.463711845,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.6758046985479,11.9723820994653,6.7,-1231599.56424862 
 06/08  00:13:00,17.4216666666667,6.75451809365959,6.80410952255453,12.0471246853358,11.9913321172087,212543.90060477,117322.480091254,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.8935157462797,11.9735305209565,6.7,-1236684.84510247 
 06/08  00:14:00,17.5233333333333,6.75170397630768,6.80173188901437,12.0721943354129,11.9912942729686,212548.046506045,117322.497468708,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,56.1090492310342,11.9746247453371,6.7,-1241711.27464142 
 06/08  00:15:00,17.625,6.74905342822677,6.79899412461244,12.0971288921483,11.9906629755944,212552.26093899,117322.51557414,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,56.3226456190154,11.975634555169,6.7,-1246676.85785196 
 06/08  00:16:00,17.7266666666667,6.74655766117877,6.79595256246896,12.121950278149,11.989352910372,212556.42243681,117322.534214389,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,56.5343256509338,11.9765250321668,6.7,-1251573.51983406 
 06/08  00:17:00,17.8283333333333,6.74420829010342,6.7926763164162,12.1466118016796,11.9873322670865,212560.543179578,117322.553251282,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,56.7444922911041,11.9772594479835,6.7,-1256401.09918255 
 06/08  00:18:00,17.93,6.74199730933797,6.78923944952613,12.1712595070719,11.9846403880901,212564.739931042,117322.572585998,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,56.953723891782,11.9778032616829,6.7,-1261163.72222056 
 06/08  00:19:00,18.0316666666667,6.73991708880586,6.78571413440833,12.1958326771667,11.9813978945547,212568.889127635,117322.592147879,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1621117591754,11.9781287972114,6.7,-1265856.26501092 
 06/08  00:20:00,18.1333333333333,6.73796036771986,6.78216551678105,12.2203283483694,11.9778072716339,212573.001729202,117322.611886431,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.3699820262671,11.9782200410347,6.7,-1270481.51943302 
 06/08  00:21:00,18.235,6.7361202367166,6.7786485999357,12.2448296505634,11.9741436634504,212577.193329907,117322.631765595,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.57784887684,11.9780769437158,6.7,-1275050.2464407 
 06/08  00:22:00,18.3366666666667,6.73439013240256,6.77520702584812,12.2693230363991,11.9707372635027,212581.446830912,117322.651759642,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.7858256991202,11.9777186661922,6.7,-1279568.98921152 
 06/08  00:23:00,18.4383333333333,6.73276383961538,6.77187329092169,12.293744125161,11.9679497919971,212585.535901256,117322.671850238,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.9935804197617,11.9771853674723,6.7,-1284039.60300557 
 06/08  00:24:00,18.54,6.73123547227761,6.76866979973255,12.3182182228109,11.9661481902335,212589.710661896,117322.692024339,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,58.2017403223377,11.9765383126593,6.7,-1288490.47897038 
 06/08  00:25:00,18.6416666666667,6.7297994610846,6.76561054019233,12.3426592234696,11.9656789671123,212593.845032497,117322.712272683,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,58.4101224829264,11.9758583111848,6.7,-1292937.07040515 
 06/08  00:26:00,18.7433333333333,6.72845054835291,6.76270280670145,12.3670998990957,11.9668458474033,212598.055060332,117322.732588713,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,58.6189403557511,11.9752426869253,6.7,-1297407.94937579 
 06/08  00:27:00,18.845,6.72718377345978,6.75994886637109,12.3915398133611,11.9698928122195,212602.32448703,117322.752967807,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,58.8282468966582,11.9748011223288,6.7,-1301931.52558548 
 06/08  00:28:00,18.9466666666667,6.72605406849635,6.7577044707747,12.0699519733451,11.9742842679069,212606.428535072,117322.773406723,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,52.8743772784134,11.974628779154,6.7,-1170127.8406259 
 06/08  00:29:00,19.0483333333333,6.725047960508,6.75558266470119,12.0860291014399,11.9803916552593,212610.616372949,117322.793903205,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.0016114589547,11.9747886335889,6.7,-1172979.12361562 
 06/08  00:30:00,19.15,6.72409833046237,6.7535793278476,12.1021318585837,11.9882439331204,212614.762794788,117322.814455702,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.1293301877772,11.9753477576883,6.7,-1175930.30253421 
 06/08  00:31:00,19.2516666666667,6.72320221973863,6.75168939203043,12.1183034311749,11.9978218886137,212618.983554751,117322.835063168,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.2576101789221,11.9763862287326,6.7,-1179001.6140601 
 06/08  00:32:00,19.3533333333333,6.7223568377066,6.74990705356971,12.1344956849366,12.0090586340899,212623.156252182,117322.855724913,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.3862292115223,11.9779774415312,6.7,-1182205.35820769 
 06/08  00:33:00,19.455,6.72155955048745,6.74822594434052,12.1507552820431,12.0218386128631,212627.398418837,117322.876440506,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.515443624314,11.9801856065777,6.7,-1185562.53258866 
 06/08  00:34:00,19.5566666666667,6.72080787295614,6.74663940627755,12.1670005429756,12.0359943660609,212631.589152803,117322.897209695,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.6447862561147,11.9830632288287,6.7,-1189075.61975595 
 06/08  00:35:00,19.6583333333333,6.72009945861228,6.74514074169639,12.1833164995958,12.0513026931025,212635.739954169,117322.918032362,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.7745358577437,11.986648506606,6.7,-1192760.51531501 
 06/08  00:36:00,19.76,6.71943208872447,6.7437235403335,12.1996042356998,12.0674817798656,212639.859331368,117322.938908482,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,53.9043466705709,11.9909626503208,6.7,-1196615.51490456 
 06/08  00:37:00,19.8616666666667,6.7188036608282,6.74238189152473,12.2159727682996,12.0841929810331,212644.165213892,117322.876541044,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.0348202943108,11.9960073229004,6.7,-1200655.55731378 
 06/08  00:38:00,19.9633333333333,6.71821218125826,6.74111060550049,12.2323262387208,12.1010487342881,212648.300712197,117322.732166157,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.1652525433777,12.0017624537653,6.7,-1204861.65907563 
 06/08  00:39:00,20.065,6.71765575671794,6.73990522511662,12.2487187739727,12.1176293971825,212652.515060326,117322.608397521,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.2960062648778,12.0081849146775,6.7,-1209233.23980907 
 06/08  00:40:00,20.1666666666667,6.71713258273934,6.73876201555844,12.2650984712999,12.1335073497607,212656.685019891,117322.528051434,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.4267241618757,12.0152085008391,6.7,-1213748.33762493 
 06/08  00:41:00,20.2683333333333,6.7166409356856,6.73767783268346,12.2815408830441,12.1482770142445,212660.820587033,117322.477356139,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.5576350504637,12.0227455285348,6.7,-1218392.97738451 
 06/08  00:42:00,20.37,6.71617916278165,6.73664998719221,12.2979252456008,12.1615864581415,212665.034339435,117322.447217448,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.6888536563191,12.0306902411787,6.7,-1223146.32314278 
 06/08  00:43:00,20.4716666666667,6.71574567765673,6.73567611453239,12.314339104159,12.1731664284627,212669.204234122,117322.431483267,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.8201496098339,12.0389238176351,6.7,-1227976.58920202 
 06/08  00:44:00,20.5733333333333,6.71533895475187,6.73475403855399,12.3307839255865,12.1828529446527,212673.445247447,117322.425919717,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,54.9516845895002,12.0473207275096,6.7,-1232858.94651619 
 06/08  00:45:00,20.675,6.7149575253613,6.73388169332965,12.3472205908044,12.1906000941931,212677.637052526,117322.427577293,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.0832518426239,12.055755839467,6.7,-1237760.12587347 
 06/08  00:46:00,20.7766666666667,6.71459997612041,6.73305705921539,12.3636709980509,12.1964818215283,212681.790698561,117322.434383439,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.2147897270984,12.0641116055529,6.7,-1242651.57543847 
 06/08  00:47:00,20.8783333333333,6.71426494695392,6.73227812557061,12.3801504922151,12.2006827686187,212685.914130622,117322.444872946,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.3464523022749,12.0722847073374,6.7,-1247512.64147836 
 06/08  00:48:00,20.98,6.7139511315588,6.73154288659906,12.3966137104804,12.2034798323919,212690.118839933,117322.458005592,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,55.4782282657564,12.0801915051092,6.7,-1252323.31052565 
