Time,CAV_1:Des Heat Mass Flow [kg/s],CAV_1:Des Cool Mass Flow [kg/s],CAV_1:Des Heat Cap [W],CAV_1:Des Sens Cool Cap [W],CAV_2:Des Heat Mass Flow [kg/s],CAV_2:Des Cool Mass Flow [kg/s],CAV_2:Des Heat Cap [W],CAV_2:Des Sens Cool Cap [W],VAV_1:Des Heat Mass Flow [kg/s],VAV_1:Des Cool Mass Flow [kg/s],VAV_1:Des Heat Cap [W],VAV_1:Des Sens Cool Cap [W],VAV_2:Des Heat Mass Flow [kg/s],VAV_2:Des Cool Mass Flow [kg/s],VAV_2:Des Heat Cap [W],VAV_2:Des Sens Cool Cap [W] 
00:01:00,4.924729E+00,1.795181E+01,1.799534E+05,2.716332E+05,3.114735E+00,1.410469E+01,1.113816E+05,2.132405E+05,6.260499E+00,1.161209E+01,2.246623E+05,1.845862E+05,1.206092E+01,3.332414E+01,4.185295E+05,5.620842E+05 
00:02:00,4.924732E+00,1.795181E+01,1.799534E+05,2.715806E+05,3.114750E+00,1.410469E+01,1.113818E+05,2.132083E+05,6.260732E+00,1.161199E+01,2.246631E+05,1.845186E+05,1.206163E+01,3.332342E+01,4.185353E+05,5.619527E+05 
00:03:00,4.924735E+00,1.795181E+01,1.799534E+05,2.715280E+05,3.114765E+00,1.410469E+01,1.113819E+05,2.131761E+05,6.260951E+00,1.161192E+01,2.246639E+05,1.844512E+05,1.206230E+01,3.332271E+01,4.185408E+05,5.618213E+05 
00:04:00,4.924737E+00,1.795181E+01,1.799534E+05,2.714753E+05,3.114781E+00,1.410469E+01,1.113821E+05,2.131440E+05,6.261190E+00,1.161185E+01,2.246647E+05,1.843841E+05,1.206302E+01,3.332201E+01,4.185467E+05,5.616901E+05 
00:05:00,4.924740E+00,1.795181E+01,1.799534E+05,2.714227E+05,3.114796E+00,1.410469E+01,1.113822E+05,2.131118E+05,6.261476E+00,1.161191E+01,2.246657E+05,1.843196E+05,1.206371E+01,3.332136E+01,4.185524E+05,5.615608E+05 
00:06:00,4.924743E+00,1.795181E+01,1.799533E+05,2.713701E+05,3.114811E+00,1.410469E+01,1.113824E+05,2.130796E+05,6.261762E+00,1.161196E+01,2.246667E+05,1.842550E+05,1.206440E+01,3.332072E+01,4.185581E+05,5.614315E+05 
00:07:00,4.924746E+00,1.795181E+01,1.799533E+05,2.713175E+05,3.114827E+00,1.410469E+01,1.113826E+05,2.130475E+05,6.262068E+00,1.161202E+01,2.246678E+05,1.841904E+05,1.206513E+01,3.332008E+01,4.185641E+05,5.613023E+05 
00:08:00,4.924748E+00,1.795181E+01,1.799533E+05,2.712648E+05,3.114842E+00,1.410469E+01,1.113827E+05,2.130153E+05,6.262354E+00,1.161207E+01,2.246688E+05,1.841258E+05,1.206582E+01,3.331944E+01,4.185697E+05,5.611732E+05 
00:09:00,4.924751E+00,1.795181E+01,1.799533E+05,2.712122E+05,3.114857E+00,1.410469E+01,1.113829E+05,2.129832E+05,6.262638E+00,1.161213E+01,2.246698E+05,1.840613E+05,1.206650E+01,3.331894E+01,4.185753E+05,5.610466E+05 
00:10:00,4.924753E+00,1.795181E+01,1.799533E+05,2.711596E+05,3.114872E+00,1.410469E+01,1.113830E+05,2.129510E+05,6.262926E+00,1.161219E+01,2.246708E+05,1.839967E+05,1.206719E+01,3.331848E+01,4.185809E+05,5.609206E+05 
00:11:00,4.924756E+00,1.795181E+01,1.799533E+05,2.711069E+05,3.114886E+00,1.410469E+01,1.113832E+05,2.129188E+05,6.263200E+00,1.161224E+01,2.246717E+05,1.839322E+05,1.206784E+01,3.331802E+01,4.185863E+05,5.607946E+05 
00:12:00,4.924759E+00,1.795181E+01,1.799533E+05,2.710543E+05,3.114900E+00,1.410469E+01,1.113833E+05,2.128867E+05,6.263479E+00,1.161230E+01,2.246727E+05,1.838677E+05,1.206851E+01,3.331755E+01,4.185917E+05,5.606686E+05 
00:13:00,4.924761E+00,1.795181E+01,1.799533E+05,2.710017E+05,3.114915E+00,1.410469E+01,1.113835E+05,2.128545E+05,6.263764E+00,1.161236E+01,2.246737E+05,1.838032E+05,1.206919E+01,3.331710E+01,4.185973E+05,5.605428E+05 
00:14:00,4.924764E+00,1.795181E+01,1.799533E+05,2.709490E+05,3.114929E+00,1.410469E+01,1.113836E+05,2.128223E+05,6.264049E+00,1.161242E+01,2.246747E+05,1.837387E+05,1.206987E+01,3.331681E+01,4.186029E+05,5.604200E+05 
00:15:00,4.924766E+00,1.795181E+01,1.799533E+05,2.708964E+05,3.114944E+00,1.410469E+01,1.113838E+05,2.127902E+05,6.264335E+00,1.161247E+01,2.246757E+05,1.836742E+05,1.207055E+01,3.331655E+01,4.186085E+05,5.602976E+05 
00:16:00,4.924769E+00,1.795181E+01,1.799532E+05,2.708438E+05,3.114958E+00,1.410469E+01,1.113839E+05,2.127580E+05,6.264620E+00,1.161253E+01,2.246767E+05,1.836097E+05,1.207123E+01,3.331629E+01,4.186140E+05,5.601753E+05 
00:17:00,4.924771E+00,1.795181E+01,1.799532E+05,2.707912E+05,3.114972E+00,1.410469E+01,1.113841E+05,2.127258E+05,6.264904E+00,1.161259E+01,2.246777E+05,1.835452E+05,1.207190E+01,3.331603E+01,4.186195E+05,5.600530E+05 
00:18:00,4.924774E+00,1.795181E+01,1.799532E+05,2.707385E+05,3.114987E+00,1.410469E+01,1.113842E+05,2.126937E+05,6.265187E+00,1.161265E+01,2.246786E+05,1.834807E+05,1.207258E+01,3.331578E+01,4.186251E+05,5.599308E+05 
00:19:00,4.924776E+00,1.795181E+01,1.799532E+05,2.706859E+05,3.115001E+00,1.410469E+01,1.113844E+05,2.126615E+05,6.265469E+00,1.161271E+01,2.246796E+05,1.834162E+05,1.207325E+01,3.331553E+01,4.186306E+05,5.598086E+05 
00:20:00,4.924779E+00,1.795181E+01,1.799532E+05,2.706333E+05,3.115015E+00,1.410469E+01,1.113845E+05,2.126294E+05,6.265751E+00,1.161277E+01,2.246806E+05,1.833518E+05,1.207392E+01,3.331527E+01,4.186361E+05,5.596865E+05 
00:21:00,4.924781E+00,1.795181E+01,1.799532E+05,2.705806E+05,3.115029E+00,1.410469E+01,1.113846E+05,2.125972E+05,6.266033E+00,1.161282E+01,2.246816E+05,1.832873E+05,1.207459E+01,3.331502E+01,4.186416E+05,5.595643E+05 
00:22:00,4.924784E+00,1.795181E+01,1.799532E+05,2.705280E+05,3.115042E+00,1.410469E+01,1.113848E+05,2.125650E+05,6.266314E+00,1.161288E+01,2.246826E+05,1.832228E+05,1.207526E+01,3.331477E+01,4.186470E+05,5.594423E+05 
00:23:00,4.924786E+00,1.795181E+01,1.799532E+05,2.704754E+05,3.115056E+00,1.410469E+01,1.113849E+05,2.125329E+05,6.266594E+00,1.161294E+01,2.246835E+05,1.831583E+05,1.207593E+01,3.331453E+01,4.186525E+05,5.593202E+05 
00:24:00,4.924789E+00,1.795181E+01,1.799532E+05,2.704227E+05,3.115070E+00,1.410469E+01,1.113851E+05,2.125007E+05,6.266874E+00,1.161300E+01,2.246845E+05,1.830939E+05,1.207659E+01,3.331428E+01,4.186579E+05,5.591982E+05 
00:25:00,4.924791E+00,1.795181E+01,1.799532E+05,2.703701E+05,3.115084E+00,1.410469E+01,1.113852E+05,2.124685E+05,6.267154E+00,1.161306E+01,2.246855E+05,1.830294E+05,1.207726E+01,3.331404E+01,4.186634E+05,5.590763E+05 
00:26:00,4.924793E+00,1.795181E+01,1.799532E+05,2.703175E+05,3.115097E+00,1.410469E+01,1.113853E+05,2.124364E+05,6.267433E+00,1.161311E+01,2.246865E+05,1.829649E+05,1.207792E+01,3.331380E+01,4.186688E+05,5.589543E+05 
