Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep) 
 06/01  00:01:00,13.38,22.0334123910451,20.3191143126721,20.3746600289406,20.3016630749788,20.5386187153593,21.1536013082851 
 06/01  00:02:00,13.46,22.0186373857929,20.3164042938346,20.3717117687202,20.2989687435178,20.534025605359,21.1493123022541 
 06/01  00:03:00,13.54,22.0039378209182,20.3141106014638,20.3691102919651,20.2966910521887,20.5297957173098,21.1450435384746 
 06/01  00:04:00,13.62,21.9893163513358,20.3121869107839,20.3668141805272,20.294784832193,20.5258876202195,21.1407950472788 
 06/01  00:05:00,13.7,21.974770190348,20.3105769998431,20.3647742794582,20.2931944472044,20.5222519983414,21.1365667973168 
 06/01  00:06:00,13.78,21.9603004883104,20.3092341608487,20.36295038671,20.2918734164694,20.5188484419862,21.132358822592 
 06/01  00:07:00,13.86,21.9459042868815,20.3081229223349,20.3613125460079,20.2907863220796,20.5156467916969,21.1281711221687 
 06/01  00:08:00,13.94,21.9315828910234,20.3072159831215,20.3598382025903,20.2899058366564,20.5126243061196,21.1240037845732 
 06/01  00:09:00,14.02,21.9173334977646,20.3064912366931,20.3585094583286,20.2892097898574,20.5097629137142,21.1198568777053 
 06/01  00:10:00,14.1,21.9031575103546,20.305930265557,20.3573116812555,20.2886796747792,20.5070478171724,21.1157305641094 
 06/01  00:11:00,14.18,21.8890522114569,20.3055174468749,20.3562326605235,20.2882997641847,20.5044666450881,21.1116249850465 
 06/01  00:12:00,14.26,21.8750190882052,20.3052396057306,20.3552622829418,20.288056767496,20.5020091271729,21.1075403718854 
 06/01  00:13:00,14.34,21.8610555215831,20.3050855596778,20.3543921034349,20.2879393839927,20.4996666640688,21.1034769281687 
 06/01  00:14:00,14.42,21.8471631028552,20.3050459091985,20.353615161028,20.2879380952509,20.4974321431265,21.0994349397463 
 06/01  00:15:00,14.5,21.833339323912,20.3051126522807,20.3529256242793,20.288044785942,20.4952995835139,21.0954146564037 
 06/01  00:16:00,14.58,21.8195858910438,20.3052790489593,20.3523186825003,20.288252607836,20.4932640273087,21.0914164019366 
 06/01  00:17:00,14.66,21.8059004092765,20.3055393159797,20.3517902690115,20.2885556785704,20.4913212624909,21.087440455957 
 06/01  00:18:00,14.74,21.7922847051628,20.3058885666386,20.3513370236291,20.2889490193683,20.489467785374,21.0834871645593 
 06/01  00:19:00,14.82,21.7787364934824,20.3063225691968,20.3509560750488,20.2894283164551,20.4877005828029,21.0795568224423 
 06/01  00:20:00,14.9,21.7652577238047,20.3068377393255,20.3506450512739,20.2899899106118,20.4860171425862,21.075649784568 
 06/01  00:21:00,14.98,21.751846213504,20.3074309404091,20.350401899436,20.2906305999773,20.4844152731771,21.0717663484635 
 06/01  00:22:00,15.06,21.7385040363267,20.3080995111427,20.3502249271831,20.291347664394,20.4828931450963,21.0679068671624 
 06/01  00:23:00,15.14,21.7252291023654,20.308841093566,20.3501126463871,20.2921386957427,20.4814491345221,21.0640716313947 
 06/01  00:24:00,15.22,21.7120236095382,20.3096536850669,20.3500638354025,20.2930016465459,20.4800818855984,21.0602609840585 
 06/01  00:25:00,15.3,21.6988855489743,20.3105354849607,20.3500773981616,20.2939346788164,20.4787901694236,21.0564752019274 
 06/01  00:26:00,15.38,21.6858172417872,20.3114849638771,20.350152440957,20.2949362300048,20.4775729608899,21.0527146118804 
 06/01  00:27:00,15.46,21.6728167473732,20.3125007225681,20.3502881412658,20.2960048741354,20.4764293074072,21.048979471728 
 06/01  00:28:00,15.54,21.6598865081362,20.3135815739799,20.3504838349682,20.2971394004497,20.4753584161809,21.0452700884186 
 06/01  00:29:00,15.62,21.6470246384244,20.3147264098901,20.3507388910759,20.2983386824751,20.474359528844,21.0415866975868 
 06/01  00:30:00,15.7,21.6342336990916,20.3159342925318,20.3510528067629,20.2996017662467,20.473432016549,21.0379295839429 
 06/01  00:31:00,15.78,21.6215118459928,20.3172043259773,20.3514250853851,20.3009277442464,20.4725752578921,21.0342989591727 
 06/01  00:32:00,15.86,21.6088617546714,20.3185357552234,20.3518553376416,20.3023158511096,20.4717887401366,21.0306950847002 
 06/01  00:33:00,15.94,21.596281609242,20.3199278401441,20.3523431610751,20.3037653402616,20.4710719386192,21.027118147606 
 06/01  00:34:00,16.02,21.58377419532,20.3213799606378,20.3528882462823,20.3052755857007,20.4704244230234,21.0235683859343 
 06/01  00:35:00,16.1,21.5713846086448,20.3228979130981,20.3534973322488,20.3068521754783,20.4698536669006,21.0200549965086 
 06/01  00:36:00,16.18,21.5590509480056,20.3244729404282,20.3541610212036,20.3084866313636,20.4693490288998,21.0165664883922 
 06/01  00:37:00,16.26,21.5468153613395,20.3261093047674,20.3548843415661,20.3101830528937,20.4689160919758,21.0131106252033 
 06/01  00:38:00,16.34,21.5346271103244,20.3278000081432,20.355659820211,20.3119346618519,20.468546364772,21.0096778561468 
 06/01  00:39:00,16.42,21.5225346303301,20.3295505424687,20.3564938490839,20.3137467441053,20.4682469572922,21.0062772938222 
 06/01  00:40:00,16.5,21.5104910941015,20.3313547146174,20.3573797971697,20.3156133062389,20.4680103157599,21.0029001052638 
 06/01  00:41:00,16.58,21.4985446862314,20.3332180108081,20.3583240273767,20.3175396305104,20.4678435215575,20.999555409905 
 06/01  00:42:00,16.66,21.48664943772,20.3351344128673,20.3593200469584,20.3195198999763,20.467739171083,20.9962344515946 
 06/01  00:43:00,16.74,21.4748524971283,20.3371092181378,20.3603739931299,20.3215592147117,20.4677040982593,20.9929461814789 
 06/01  00:44:00,16.82,21.4631543914022,20.339142597242,20.3614862086008,20.3236577416795,20.4677385557572,20.9896909240153 
 06/01  00:45:00,16.9,21.4515382966138,20.3412323612575,20.3626544147774,20.3258133672242,20.4678399087916,20.9864663063482 
 06/01  00:46:00,16.98,21.4399983221264,20.3433767610702,20.3638768417484,20.3280243965246,20.4680061073075,20.9832706584584 
 06/01  00:47:00,17.06,21.4285303688177,20.3455749469722,20.3651527287568,20.3302900003287,20.4682362243664,20.9801033568534 
 06/01  00:48:00,17.14,21.4171381216975,20.3478265927579,20.3664818902119,20.3326098547275,20.4685299697375,20.9769643529715 
 06/01  00:49:00,17.22,21.4058210015097,20.3501315320704,20.367864307748,20.3349837915509,20.4688872383412,20.9738537567359 
 06/01  00:50:00,17.3,21.3945831269635,20.3524896058157,20.369299956769,20.3374116509579,20.4693079185198,20.9707716927121 
 06/01  00:51:00,17.38,21.3834233344697,20.354900621121,20.370788765708,20.3398932416228,20.4697918477866,20.9677182451799 
 06/01  00:52:00,17.46,21.3723453062235,20.3573643667188,20.3723306322814,20.3424283550168,20.470338830589,20.9646934878687 
 06/01  00:53:00,17.54,21.3613475490123,20.3598806183479,20.373925434159,20.3450167705684,20.4709486505263,20.961697473332 
 06/01  00:54:00,17.62,21.3504336524862,20.3624491518908,20.3755730414644,20.3476582680149,20.4716210837772,20.9587302600012 
 06/01  00:55:00,17.7,21.3396019822026,20.3650697384118,20.3772733150251,20.3503526227325,20.4723558975342,20.9557918914221 
 06/01  00:56:00,17.78,21.3288560978671,20.3677421512477,20.3790261115969,20.3530996123269,20.4731528553852,20.9528824182054 
 06/01  00:57:00,17.86,21.318194241026,20.3704661591032,20.3808312797866,20.3558990101244,20.47401171318,20.9500018754627 
 06/01  00:58:00,17.94,21.3076199458,20.3732415331213,20.3826886650915,20.3587505917556,20.4749322242109,20.9471503052143 
 06/01  00:59:00,18.02,21.2971313400387,20.3760680402153,20.3845981060421,20.3616541288911,20.4759141353219,20.9443277339355 
 06/01  01:00:00,18.1,21.2867319411886,20.3789454503153,20.3865594392993,20.3646093960042,20.4769571921513,20.9415341955128 
 06/01  01:01:00,18.1016666666667,21.2764144608302,20.3816135905317,20.3883567291885,20.3673589789882,20.4778457126063,20.9387698046316 
 06/01  01:02:00,18.1033333333333,21.2661731658342,20.3839241824518,20.3898682172617,20.3697554701567,20.4784577828596,20.9360345826179 
 06/01  01:03:00,18.105,21.256000726368,20.3858624645875,20.3910844457039,20.3717832432478,20.4787837004354,20.9333284433251 
 06/01  01:04:00,18.1066666666667,21.2458988345103,20.3874765779876,20.3920484132236,20.3734890367114,20.4788662807045,20.9306512933858 
 06/01  01:05:00,18.1083333333333,21.235865898024,20.388825280765,20.3928111693877,20.3749303988498,20.4787564557937,20.9280030332845 
 06/01  01:06:00,18.11,21.2259061439418,20.3899579487858,20.3934149317379,20.3761558735159,20.4784963579631,20.9253835674494 
 06/01  01:07:00,18.1116666666667,21.2160219890886,20.3909123780716,20.3938914394388,20.3772027353991,20.478117648669,20.9227979177139 
 06/01  01:08:00,18.1133333333333,21.2062184475676,20.391717882684,20.3942648172507,20.378099976069,20.4776443732418,20.920228546989 
 06/01  01:09:00,18.115,21.1964929272601,20.3923981123376,20.3945541366807,20.3788710453803,20.4770955208463,20.9176640485643 
 06/01  01:10:00,18.1166666666667,21.1868483515252,20.3929727305066,20.3947749527803,20.3795354859137,20.4764865627122,20.9151019768875 
